Choice_r,IF_sens_r,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.9
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.89
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.88
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.87
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.86
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.85
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.84
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.83
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.82
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.81
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.8
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.79
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.78
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.77
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.76
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.75
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.74
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.73
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.72
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.71
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.7
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.69
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.68
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.67
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.66
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.65
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.64
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.63
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.62
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.61
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.6
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.59
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.58
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.57
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.56
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.55
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.54
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.53
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.52
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.51
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.5
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.49
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.48
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.47
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.46
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.45
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.44
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.43
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.42
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.41
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.4
