Goal_l,IF_thresh_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
1.01,0.0,1.0,1.0,0.3554834646482025,248.94740549960403,160.63380577078325,-0.12
1.01,0.0,1.0,1.0,0.35540472935129125,248.94005713094566,160.6338057707832,-0.11
1.01,0.0,1.0,1.0,0.35533011302324186,248.92620818286935,160.6338057707831,-0.1
1.01,0.0,1.0,1.0,0.35525948666949797,248.90307202843883,160.6338057707831,-0.09
1.01,0.0,1.0,1.0,0.3551926149540168,248.864334580548,160.63380577078317,-0.08
1.01,0.0,1.0,1.0,0.35512923724493134,248.79897779322718,160.63380577078323,-0.07
1.01,0.0,1.0,1.0,0.3550690992273065,248.6868750852776,160.63380577078317,-0.06
1.01,0.0,1.0,1.0,0.35501196158970155,248.6633370100104,160.63380577078314,-0.05
1.01,0.0,1.0,1.0,0.3549576103239809,248.6633370100104,160.6338057707831,-0.04
1.01,0.0,1.0,1.0,0.35490584700020283,248.6633370100104,160.6338057707832,-0.03
1.01,0.0,1.0,1.0,0.35485649107883094,248.6633370100104,160.6338057707832,-0.02
1.01,0.0,1.0,1.0,0.35483508995489244,248.6633370100104,160.6338057707832,-0.01
1.01,0.0,1.0,1.0,0.3548350899548925,248.6633370100104,160.63380577078317,0.0
1.02,0.0,0.9728351850047754,0.5772345462625026,0.5768013642610152,292.1458776322219,137.7063127952606,-1.0
1.02,0.0,0.9732913631197746,0.583101570623569,0.5337031665810062,291.1919034839953,141.3711126876112,-0.99
1.02,0.0,0.9737467648187834,0.5889685949846356,0.4934607694663217,290.26500590151915,151.33740495621254,-0.98
1.02,0.0,0.9742013855805791,0.5948356193457021,0.46949129730359584,289.3770708963142,152.82122743093106,-0.97
1.02,0.0,0.9746552211570099,0.6007026437067687,0.4530823481924495,288.5416390803125,152.9820272726106,-0.96
1.02,0.0,0.9751082677292654,0.6065696680678352,0.4407736088463848,287.7719144192332,153.1580265601273,-0.95
1.02,0.0,0.9755605220825815,0.6124366924289016,0.43112432748212354,287.0834481141502,153.33454801538744,-0.94
1.02,0.0,0.9760119817983711,0.6183037167899682,0.42333416293103193,286.4753310193782,153.51159655465014,-0.93
1.02,0.0,0.9764626454617834,0.6241707411510347,0.4168986952254962,285.97048516289743,153.6891098554237,-0.92
1.02,0.0,0.9769125128815558,0.6300377655121011,0.4115214422127047,285.57462960283914,153.85180257850809,-0.91
1.02,0.0,0.9773615853177205,0.6359047898731677,0.4068790135277718,285.28596742983075,154.0304421836504,-0.9
