MagCAPShock,Decay_hard,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.99,0.035,51.0,1.0,1.0,194.77188269807127,606.0851322783294,-0.99
-0.98,0.035,51.0,1.0,1.0,194.87024020679854,621.7817177820374,-0.98
-0.97,0.035,51.0,1.0,1.0,194.8406763334257,621.0144547698278,-0.97
-0.96,0.035,51.0,1.0,1.0,194.99462800186083,615.177203799759,-0.96
-0.95,0.035,51.0,1.0,1.0,195.18132753790704,609.5033263113767,-0.95
-0.94,0.035,51.0,1.0,1.0,195.35404172712055,603.2445857452989,-0.94
-0.93,0.035,51.0,1.0,1.0,195.51675165618363,595.5239968071843,-0.93
-0.92,0.035,51.0,1.0,1.0,195.67593960778547,587.2978419168385,-0.92
-0.91,0.035,51.0,1.0,1.0,195.7025606308113,586.1198103557145,-0.91
-0.9,0.035,51.0,1.0,1.0,195.61827367944343,594.4205250983325,-0.9
-0.89,0.035,51.0,1.0,1.0,195.54207261171763,603.3142862960843,-0.89
-0.88,0.035,51.0,1.0,1.0,195.5711107194698,610.6003267717418,-0.88
-0.87,0.035,51.0,1.0,1.0,195.65043949913183,616.9461255998259,-0.87
-0.86,0.035,51.0,1.0,1.0,195.21683814610302,623.1704272731471,-0.86
-0.85,0.035,51.0,1.0,1.0,195.29180472445526,622.5928120269141,-0.85
-0.84,0.035,51.0,1.0,1.0,196.09293062376452,619.3219099088219,-0.84
-0.83,0.035,51.0,1.0,1.0,196.07917359045473,615.9623377691174,-0.83
-0.82,0.035,51.0,1.0,1.0,195.98009082345524,612.4821181066886,-0.82
-0.81,0.035,51.0,1.0,1.0,195.94150908783672,608.7832649781611,-0.81
-0.8,0.035,51.0,1.0,1.0,195.94492697712724,604.7081196108013,-0.8
-0.79,0.035,51.0,1.0,1.0,195.98126636174908,600.0900051432546,-0.79
-0.78,0.035,51.0,1.0,1.0,196.0177039274968,594.8795234064843,-0.78
-0.77,0.035,51.0,1.0,1.0,196.061779454918,589.3661953903567,-0.77
-0.76,0.035,51.0,1.0,1.0,196.1800359513392,585.1571052419181,-0.76
-0.75,0.035,51.0,1.0,1.0,196.33494862257191,584.7303889921942,-0.75
-0.74,0.035,51.0,1.0,1.0,196.4868298163938,588.1169606581774,-0.74
-0.73,0.035,51.0,1.0,1.0,196.63579733544768,593.0545238940302,-0.73
-0.72,0.035,51.0,1.0,1.0,196.7556479872479,597.911726362722,-0.72
-0.71,0.035,51.0,1.0,1.0,196.7640862145895,602.3401324310511,-0.71
-0.7,0.035,51.0,1.0,1.0,196.77217830025046,606.2367908132117,-0.7
-0.69,0.035,51.0,1.0,1.0,196.7828878931558,609.9924376774051,-0.69
-0.68,0.035,51.0,1.0,1.0,196.79903350851643,613.7589751608257,-0.68
-0.67,0.035,51.0,1.0,1.0,196.82380968952512,617.575791494377,-0.67
-0.66,0.035,51.0,1.0,1.0,196.9001100590493,621.5011011419,-0.66
-0.65,0.035,51.0,1.0,1.0,197.0494354187323,625.3284974858107,-0.65
-0.64,0.035,51.0,1.0,1.0,197.19749204691604,629.0932966547284,-0.64
-0.63,0.035,51.0,1.0,1.0,197.3501513359112,629.1223366084156,-0.63
-0.62,0.035,51.0,1.0,1.0,197.31626145293444,627.4888783859394,-0.62
-0.61,0.035,51.0,1.0,1.0,197.27468601921672,625.842814113898,-0.61
-0.6,0.035,51.0,1.0,1.0,197.47091859329007,624.2055289170723,-0.6
-0.59,0.035,51.0,1.0,1.0,197.50958842416125,622.6712093102398,-0.59
-0.58,0.035,51.0,1.0,1.0,197.50990036293476,621.1917672169658,-0.58
-0.57,0.035,51.0,1.0,1.0,197.68112481665705,619.750812757296,-0.57
-0.56,0.035,51.0,1.0,1.0,197.6945373180897,618.3452654735199,-0.56
-0.55,0.035,51.0,1.0,1.0,197.80275835701866,616.9689373922682,-0.55
-0.54,0.035,51.0,1.0,1.0,197.82860099500033,615.4775750407362,-0.54
-0.53,0.035,51.0,1.0,1.0,197.9370409665189,613.9733536385623,-0.53
-0.52,0.035,51.0,1.0,1.0,197.99714091899213,612.4662809533534,-0.52
-0.51,0.035,51.0,1.0,1.0,198.0899728123512,610.9880890392222,-0.51
-0.5,0.035,51.0,1.0,1.0,198.2172021408882,609.5927368933376,-0.5
-0.49,0.035,51.0,1.0,1.0,198.34251474252574,608.3416014817864,-0.49
-0.48,0.035,51.0,1.0,1.0,198.34341173422533,607.2816671185477,-0.48
-0.47,0.035,51.0,1.0,1.0,198.34795881880802,606.4291693113105,-0.47
-0.46,0.035,51.0,1.0,1.0,198.2629787892167,605.7612583276072,-0.46
-0.45,0.035,51.0,1.0,1.0,198.22344895631244,605.2616975359252,-0.45
-0.44,0.035,51.0,1.0,1.0,198.23384341390587,604.8812451777821,-0.44
-0.43,0.035,51.0,1.0,1.0,198.10876835502455,604.7097357290872,-0.43
-0.42,0.035,51.0,1.0,1.0,198.46006510406352,604.5837113955403,-0.42
-0.41,0.035,51.0,1.0,1.0,198.52123407462582,604.5604212937764,-0.41
-0.4,0.035,51.0,1.0,1.0,198.5813360400156,604.5893371681794,-0.4
-0.39,0.035,51.0,1.0,1.0,198.64264659679864,604.6600460655656,-0.39
-0.38,0.035,51.0,1.0,1.0,198.7046687167358,604.7629048196237,-0.38
-0.37,0.035,51.0,1.0,1.0,198.75247609771824,604.889312322069,-0.37
-0.36,0.035,51.0,1.0,1.0,198.8024132942444,605.0315485024364,-0.36
-0.35,0.035,51.0,1.0,1.0,198.8573712794453,605.1830518925846,-0.35
-0.34,0.035,51.0,1.0,1.0,198.912069378094,605.338396687325,-0.34
-0.33,0.035,51.0,1.0,1.0,198.9664136667222,605.493201152461,-0.33
-0.32,0.035,51.0,1.0,1.0,199.02036570555117,605.6440379191523,-0.32
-0.31,0.035,51.0,1.0,1.0,199.07391407233715,605.7883259951792,-0.31
-0.3,0.035,51.0,1.0,1.0,199.12706301149962,605.9242151707476,-0.3
-0.29,0.035,51.0,1.0,1.0,199.17982717568927,606.0504707856926,-0.29
