MagCAPShock,IF_sens_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.52,4.710805822269944,51.0,1.0,1.0,206.59988980945062,583.2926471017068,-0.52
-0.51,4.710805822269944,51.0,1.0,1.0,206.6673525319998,583.1324776151448,-0.51
-0.5,4.710805822269944,51.0,1.0,1.0,206.73499496685855,582.977965496671,-0.5
-0.49,4.710805822269944,51.0,1.0,1.0,206.8027023999041,582.8279407896401,-0.49
-0.48,4.710805822269944,51.0,1.0,1.0,206.87036942356127,582.6815470532581,-0.48
-0.47,4.710805822269944,51.0,1.0,1.0,206.93789663876018,582.5381370958695,-0.47
-0.46,4.710805822269944,51.0,1.0,1.0,207.00005431923222,582.3932153003994,-0.46
-0.45,4.710805822269944,51.0,1.0,1.0,207.00721506150103,581.9898789894535,-0.45
-0.44,4.710805822269944,51.0,1.0,1.0,207.0118126099398,581.4088106628377,-0.44
-0.43,4.710805822269944,51.0,1.0,1.0,207.02254743965005,580.7152812607284,-0.43
-0.42,4.710805822269944,51.0,1.0,1.0,207.05702973418906,580.2623429290612,-0.42
-0.41,4.710805822269944,51.0,1.0,1.0,207.1408470329596,580.691686354359,-0.41
-0.4,4.710805822269944,51.0,1.0,1.0,207.29726725935674,582.6671719340289,-0.4
-0.39,4.710805822269944,51.0,1.0,1.0,207.52859823850008,586.3959444651904,-0.39
-0.38,4.710805822269944,51.0,1.0,1.0,207.80264541685204,591.2569092835754,-0.38
-0.37,4.710805822269944,51.0,1.0,1.0,208.05854356718456,596.3662233654001,-0.37
-0.36,4.710805822269944,51.0,1.0,1.0,208.23128691722286,601.3641506166086,-0.36
-0.35,4.710805822269944,51.0,1.0,1.0,208.33944807132931,602.5192461059208,-0.35
-0.34,4.710805822269944,51.0,1.0,1.0,208.4049513713239,600.1955678124108,-0.34
-0.33,4.710805822269944,51.0,1.0,1.0,208.39965272158437,596.8688591034897,-0.33
-0.32,4.710805822269944,51.0,1.0,1.0,208.3369358417786,592.1086745241785,-0.32
-0.31,4.710805822269944,51.0,1.0,1.0,208.22917551756947,586.111857615415,-0.31
-0.3,4.710805822269944,51.0,1.0,1.0,208.08507127323645,579.8739711390258,-0.3
-0.29,4.710805822269944,51.0,1.0,1.0,207.9097710212188,576.0450088564718,-0.29
-0.28,4.710805822269944,51.0,1.0,1.0,207.70651435514836,576.6699297292506,-0.28
-0.27,4.710805822269944,51.0,1.0,1.0,207.47991539814777,581.3295110498144,-0.27
-0.26,4.710805822269944,51.0,1.0,1.0,207.24221266702654,588.0685075457426,-0.26
-0.25,4.710805822269944,51.0,1.0,1.0,207.0243656286966,594.803541519594,-0.25
-0.24,4.710805822269944,51.0,1.0,1.0,207.25227219631347,591.4571183058673,-0.24
-0.23,4.710805822269944,51.0,1.0,1.0,207.38964571407226,590.4547996061848,-0.23
