MagCAPShock,IF_thresh_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.77,0.02,51.0,1.0,1.0,196.2577350499676,526.4128617655216,-0.77
-0.76,0.02,51.0,1.0,1.0,196.16808274570116,533.9210176279067,-0.76
-0.75,0.02,51.0,1.0,1.0,196.33517447783456,542.2268694659736,-0.75
-0.74,0.02,51.0,1.0,1.0,196.51874350736148,549.0326387432794,-0.74
-0.73,0.02,51.0,1.0,1.0,196.33512004105114,555.4662185929685,-0.73
-0.72,0.02,51.0,1.0,1.0,196.621882219444,561.9419019337229,-0.72
-0.71,0.02,51.0,1.0,1.0,196.7682979904062,568.1375180513766,-0.71
-0.7,0.02,51.0,1.0,1.0,196.84308552363552,579.5011036859395,-0.7
-0.69,0.02,51.0,1.0,1.0,196.89743524175938,589.1414122911342,-0.69
-0.68,0.02,51.0,1.0,1.0,196.98553247529463,593.2567734638562,-0.68
-0.67,0.02,51.0,1.0,1.0,196.9325597667596,588.1970123744316,-0.67
-0.66,0.02,51.0,1.0,1.0,196.97473331052626,591.66292540019,-0.66
-0.65,0.02,51.0,1.0,1.0,197.1380442386154,595.1599638582973,-0.65
-0.64,0.02,51.0,1.0,1.0,197.24093353040257,595.5130378827763,-0.64
-0.63,0.02,51.0,1.0,1.0,197.3879650830754,593.538482272252,-0.63
-0.62,0.02,51.0,1.0,1.0,197.58698129756974,590.6032199375866,-0.62
-0.61,0.02,51.0,1.0,1.0,197.61606967847314,586.8393668152164,-0.61
-0.6,0.02,51.0,1.0,1.0,197.6319951162609,582.4140045651991,-0.6
-0.59,0.02,51.0,1.0,1.0,197.67125569587446,577.509780440692,-0.59
-0.58,0.02,51.0,1.0,1.0,197.70637222263682,572.7896969270649,-0.58
-0.57,0.02,51.0,1.0,1.0,197.750938844949,570.6678074288651,-0.57
-0.56,0.02,51.0,1.0,1.0,197.80999252069353,568.5279637309156,-0.56
-0.55,0.02,51.0,1.0,1.0,197.85715453843636,566.4412447457399,-0.55
-0.54,0.02,51.0,1.0,1.0,197.9132537887329,564.4622801626207,-0.54
-0.53,0.02,51.0,1.0,1.0,197.97336949667144,562.6309029043204,-0.53
-0.52,0.02,51.0,1.0,1.0,198.02236575290496,560.9742558333742,-0.52
-0.51,0.02,51.0,1.0,1.0,198.06819291228894,559.5089979585939,-0.51
-0.5,0.02,51.0,1.0,1.0,198.11798243852513,558.2434457954969,-0.5
-0.49,0.02,51.0,1.0,1.0,198.17313778168383,557.1795326256783,-0.49
-0.48,0.02,51.0,1.0,1.0,198.21894038658021,556.314468867196,-0.48
-0.47,0.02,51.0,1.0,1.0,198.2597024120469,555.6420313420662,-0.47
-0.46,0.02,51.0,1.0,1.0,198.29945246829504,555.1535246877512,-0.46
-0.45,0.02,51.0,1.0,1.0,198.33573635480283,554.484259594018,-0.45
-0.44,0.02,51.0,1.0,1.0,198.36437282064264,554.3747965545446,-0.44
-0.43,0.02,51.0,1.0,1.0,198.39530646874042,555.2451034988283,-0.43
-0.42,0.02,51.0,1.0,1.0,198.42621730293246,556.1164928573794,-0.42
-0.41,0.02,51.0,1.0,1.0,198.45842413334023,556.9895002159622,-0.41
-0.4,0.02,51.0,1.0,1.0,198.47710724344066,557.8644964866266,-0.4
-0.39,0.02,51.0,1.0,1.0,198.50260468836487,558.7417013067485,-0.39
-0.38,0.02,51.0,1.0,1.0,198.53206257217508,559.6211963412308,-0.38
-0.37,0.02,51.0,1.0,1.0,198.56404237314737,560.5029379189206,-0.37
-0.36,0.02,51.0,1.0,1.0,198.59533423220418,561.3867686143913,-0.36
-0.35,0.02,51.0,1.0,1.0,198.6257336218177,562.2724275430357,-0.35
-0.34,0.02,51.0,1.0,1.0,198.65636709872723,563.1595592667278,-0.34
-0.33,0.02,51.0,1.0,1.0,198.67903334819093,564.0477213102872,-0.33
-0.32,0.02,51.0,1.0,1.0,198.70294002057386,564.9363903680725,-0.32
-0.31,0.02,51.0,1.0,1.0,198.7325966579749,565.8249673351487,-0.31
-0.3,0.02,51.0,1.0,1.0,198.76517593976766,566.7127813346343,-0.3
-0.29,0.02,51.0,1.0,1.0,198.7974043521499,567.599092934158,-0.29
-0.28,0.02,51.0,1.0,1.0,198.8282798881644,568.4830967523035,-0.28
-0.27,0.02,51.0,1.0,1.0,198.85774270673573,569.3639236565036,-0.27
-0.26,0.02,51.0,1.0,1.0,198.8784378463492,570.240642745084,-0.26
-0.25,0.02,51.0,1.0,1.0,198.90834576817824,571.1122632948379,-0.25
-0.24,0.02,51.0,1.0,1.0,198.9423032607121,571.9777368400391,-0.24
-0.23,0.02,51.0,1.0,1.0,198.97611263090278,572.8359595305361,-0.23
-0.22,0.02,51.0,1.0,1.0,199.00902169141196,573.6857748991516,-0.22
-0.21,0.02,51.0,1.0,1.0,199.0376796461083,574.5259771477506,-0.21
-0.2,0.02,51.0,1.0,1.0,199.0617887454641,575.3553150423168,-0.2
-0.19,0.02,51.0,1.0,1.0,199.09480010071294,576.1724964861306,-0.19
-0.18,0.02,51.0,1.0,1.0,199.13020542347968,576.9761938200076,-0.18
-0.17,0.02,51.0,1.0,1.0,199.16627384308896,577.765049876882,-0.17
-0.16,0.02,51.0,1.0,1.0,199.2032784255884,578.5376847974285,-0.16
-0.15,0.02,51.0,1.0,1.0,200.623542621335,601.5549614239895,-0.15
-0.14,0.02,51.0,1.0,1.0,203.36792757705953,523.1484301582789,-0.14
-0.13,0.02,51.0,1.0,1.0,204.89574964124594,526.5846616656884,-0.13
-0.12,0.02,51.0,1.0,1.0,205.85744290942858,544.3607267558049,-0.12
-0.11,0.02,51.0,1.0,1.0,206.90652687083772,566.1470764451117,-0.11
-0.1,0.02,51.0,1.0,1.0,209.22984277590118,529.3466213927629,-0.1
-0.09,0.02,51.0,1.0,1.0,210.50151638352875,547.0680232640876,-0.09
-0.08,0.02,51.0,1.0,1.0,211.22131431134255,546.0979568986094,-0.08
