MagCAPShock,DSCR,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.23,1.51,51.0,1.0,1.0,200.38233683931216,493.96994545325697,-0.23
-0.22,1.51,51.0,1.0,1.0,200.42803550135105,495.7917192732493,-0.22
-0.21,1.51,51.0,1.0,1.0,200.46914778176807,498.21426013640115,-0.21
-0.2,1.51,51.0,1.0,1.0,200.5107686990807,500.94260422524593,-0.2
-0.19,1.51,51.0,1.0,1.0,200.5531062970137,503.6857729167966,-0.19
-0.18,1.51,51.0,1.0,1.0,200.59640236855358,506.2722045316713,-0.18
-0.17,1.51,51.0,1.0,1.0,200.64095316773955,508.6515112657748,-0.17
-0.16,1.51,51.0,1.0,1.0,200.68616596568165,510.84265247674387,-0.16
-0.15,1.51,51.0,1.0,1.0,201.58263120244254,530.678632919151,-0.15
-0.14,1.51,51.0,1.0,1.0,203.2395580852682,531.1748836677763,-0.14
-0.13,1.51,51.0,1.0,1.0,204.8069713250989,515.3560097761728,-0.13
-0.12,1.51,51.0,1.0,1.0,206.28296257635185,544.2112351314659,-0.12
-0.11,1.51,51.0,1.0,1.0,207.854321759301,516.5120093519753,-0.11
-0.1,1.51,51.0,1.0,1.0,209.54545187551324,533.5133057245841,-0.1
-0.09,1.51,51.0,1.0,1.0,210.6637408919981,513.4699889350272,-0.09
-0.08,1.51,51.0,1.0,1.0,211.75922964596236,552.5690466688474,-0.08
-0.07,1.51,51.0,1.0,1.0,213.66181669881456,533.02859224322,-0.07
-0.06,1.51,51.0,1.0,1.0,215.3892160352203,497.13818979797554,-0.06
-0.05,1.51,51.0,1.0,1.0,215.38710890468425,550.8348856442857,-0.05
-0.04,1.51,51.0,1.0,1.0,217.79462089209335,521.0905875740159,-0.04
-0.03,1.51,51.0,1.0,1.0,218.6089245599138,530.9850428094898,-0.03
-0.02,1.51,51.0,1.0,1.0,219.83629199679396,559.9506470013561,-0.02
-0.01,1.51,51.0,1.0,1.0,221.11632118424072,545.9855661699804,-0.01
0.0,1.51,51.0,1.0,1.0,222.35201925903786,533.4847422453569,0.0
-1.0,1.52,51.0,1.0,1.0,194.6724010330816,521.0496953686043,-1.0
-0.99,1.52,51.0,1.0,1.0,194.56743357743346,536.9423579328499,-0.99
-0.98,1.52,51.0,1.0,1.0,194.78985448165736,548.1918425512717,-0.98
-0.97,1.52,51.0,1.0,1.0,195.0685228029167,550.5051415693787,-0.97
-0.96,1.52,51.0,1.0,1.0,195.26699939476242,550.2530594408103,-0.96
-0.95,1.52,51.0,1.0,1.0,195.23582759843654,552.3062000488901,-0.95
-0.94,1.52,51.0,1.0,1.0,195.207254396931,555.0717063166466,-0.94
-0.93,1.52,51.0,1.0,1.0,195.33585549558282,557.7015415808834,-0.93
-0.92,1.52,51.0,1.0,1.0,195.60206022377906,560.0272077623118,-0.92
-0.91,1.52,51.0,1.0,1.0,195.68812154160742,562.0727038502861,-0.91
-0.9,1.52,51.0,1.0,1.0,194.94327747783265,564.0010897951739,-0.9
-0.89,1.52,51.0,1.0,1.0,194.88133213808075,565.9205760713061,-0.89
-0.88,1.52,51.0,1.0,1.0,195.0960490011321,565.9514084773467,-0.88
-0.87,1.52,51.0,1.0,1.0,195.2633450744074,565.0079492941387,-0.87
