Goal_l,IF_sens_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
1.01,4.0,1.0,1.0,0.35540472935129125,248.94005713094566,160.6338057707832,-0.11
1.01,4.0,1.0,1.0,0.35533011302324186,248.92620818286935,160.6338057707831,-0.1
1.01,4.0,1.0,1.0,0.35525948666949797,248.90307202843883,160.6338057707831,-0.09
1.01,4.0,1.0,1.0,0.3551926149540168,248.864334580548,160.63380577078317,-0.08
1.01,4.0,1.0,1.0,0.35512923724493134,248.79897779322718,160.63380577078323,-0.07
1.01,4.0,1.0,1.0,0.3550690992273065,248.6868750852776,160.63380577078317,-0.06
1.01,4.0,1.0,1.0,0.35501196158970155,248.6633370100104,160.63380577078314,-0.05
1.01,4.0,1.0,1.0,0.3549576103239809,248.6633370100104,160.6338057707831,-0.04
1.01,4.0,1.0,1.0,0.35490584700020283,248.6633370100104,160.6338057707832,-0.03
1.01,4.0,1.0,1.0,0.35485649107883094,248.6633370100104,160.6338057707832,-0.02
1.01,4.0,1.0,1.0,0.35483508995489244,248.6633370100104,160.6338057707832,-0.01
1.01,4.0,1.0,1.0,0.3548350899548925,248.6633370100104,160.63380577078317,0.0
1.02,4.0,0.9718359440812038,0.5772345462625026,0.5757519445278324,285.362719159703,135.7575013383508,-1.0
1.02,4.0,0.9723277879189905,0.583101570623569,0.5254159522350222,285.14769409010864,143.05473681592906,-0.99
1.02,4.0,0.9728199130107799,0.5889685949846356,0.4854760020039563,284.986736565303,152.65094806740427,-0.98
1.02,4.0,0.9733123016877377,0.5948356193457021,0.4646126150058319,284.8745992637482,152.8302674342708,-0.97
1.02,4.0,0.9738049346758741,0.6007026437067687,0.4494918463732267,284.8052830510163,153.00049998531512,-0.96
1.02,4.0,0.9742977909834902,0.6065696680678352,0.43800478431699813,284.7724236133635,153.1808935093034,-0.95
1.02,4.0,0.9747908477843417,0.6124366924289016,0.4289513749760883,284.7696567303622,153.36189507325528,-0.94
1.02,4.0,0.975284080295795,0.6183037167899682,0.42161298412637893,284.7909230739092,153.54350878900547,-0.93
1.02,4.0,0.9757774616510614,0.6241707411510347,0.4155292377122917,284.8306903628799,153.72573958336878,-0.92
1.02,4.0,0.9762709627643605,0.6300377655121011,0.4104275933514468,284.8840883130298,153.90046379202585,-0.91
