MagCAPShock,FixedPropRates,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.5,0.01,51.0,1.0,1.0,197.8223795345239,552.8326166976107,-0.5
-0.49,0.01,51.0,1.0,1.0,197.86783937038606,550.6302953398864,-0.49
-0.48,0.01,51.0,1.0,1.0,197.9111745328999,549.6164390401387,-0.48
-0.47,0.01,51.0,1.0,1.0,197.95647856068672,548.8141580931253,-0.47
-0.46,0.01,51.0,1.0,1.0,198.00248926550955,548.2200245895159,-0.46
-0.45,0.01,51.0,1.0,1.0,198.04972958596588,547.3865472581163,-0.45
-0.44,0.01,51.0,1.0,1.0,198.0800818034143,547.2132393440156,-0.44
-0.43,0.01,51.0,1.0,1.0,198.1042143088861,548.2452233825188,-0.43
-0.42,0.01,51.0,1.0,1.0,198.12460307598235,549.2745559167956,-0.42
-0.41,0.01,51.0,1.0,1.0,198.15297785263522,550.3001986281884,-0.41
-0.4,0.01,51.0,1.0,1.0,198.18412508954637,551.3211163694838,-0.4
-0.39,0.01,51.0,1.0,1.0,198.21430256131,552.3362669166464,-0.39
-0.38,0.01,51.0,1.0,1.0,198.2445818731267,553.3445913323712,-0.38
-0.37,0.01,51.0,1.0,1.0,198.26195144460866,555.1011189694683,-0.37
-0.36,0.01,51.0,1.0,1.0,198.2895407602075,557.0897158810486,-0.36
-0.35,0.01,51.0,1.0,1.0,198.32129626720638,559.0511815835617,-0.35
-0.34,0.01,51.0,1.0,1.0,198.35308490271052,560.9848014060956,-0.34
-0.33,0.01,51.0,1.0,1.0,198.3856209953367,562.8897609545993,-0.33
-0.32,0.01,51.0,1.0,1.0,198.40489706998352,564.7650917582773,-0.32
-0.31,0.01,51.0,1.0,1.0,198.4353642590193,566.6096442464188,-0.31
-0.3,0.01,51.0,1.0,1.0,198.4690491389447,568.4220797468861,-0.3
-0.29,0.01,51.0,1.0,1.0,198.50448484849684,570.2008755132571,-0.29
-0.28,0.01,51.0,1.0,1.0,198.53639542117926,571.9443385403656,-0.28
-0.27,0.01,51.0,1.0,1.0,198.567152943048,573.650625210987,-0.27
-0.26,0.01,51.0,1.0,1.0,198.60450387530145,575.3177647328944,-0.26
-0.25,0.01,51.0,1.0,1.0,198.64411286440557,576.9436849637476,-0.25
-0.24,0.01,51.0,1.0,1.0,198.68477180334,578.5262396569934,-0.24
-0.23,0.01,51.0,1.0,1.0,198.7241625950204,580.0632364454989,-0.23
-0.22,0.01,51.0,1.0,1.0,198.76622026139256,581.5524650608817,-0.22
-0.21,0.01,51.0,1.0,1.0,198.81210826906917,582.9917253939808,-0.21
-0.2,0.01,51.0,1.0,1.0,198.85921822560383,584.378855058113,-0.2
-0.19,0.01,51.0,1.0,1.0,198.9050697000901,585.7117561407998,-0.19
-0.18,0.01,51.0,1.0,1.0,198.95281872973837,586.9884208326256,-0.18
-0.17,0.01,51.0,1.0,1.0,198.99723642107597,588.206955607723,-0.17
-0.16,0.01,51.0,1.0,1.0,199.04514281545218,589.3656036071113,-0.16
-0.15,0.01,51.0,1.0,1.0,200.86429711959406,588.2707582602026,-0.15
-0.14,0.01,51.0,1.0,1.0,203.37132052548992,515.6809816702545,-0.14
-0.13,0.01,51.0,1.0,1.0,204.91631691283092,518.0162940918135,-0.13
-0.12,0.01,51.0,1.0,1.0,205.89516802428977,531.1280591363267,-0.12
-0.11,0.01,51.0,1.0,1.0,207.18846083685682,550.7527049184584,-0.11
-0.1,0.01,51.0,1.0,1.0,209.23014187835068,518.6423771476537,-0.1
-0.09,0.01,51.0,1.0,1.0,210.55421048630876,527.9505132149435,-0.09
-0.08,0.01,51.0,1.0,1.0,211.4032606663754,546.5788508256568,-0.08
-0.07,0.01,51.0,1.0,1.0,212.60851349544524,563.3912660257016,-0.07
-0.06,0.01,51.0,1.0,1.0,214.26716053162406,520.0176468312168,-0.06
-0.05,0.01,51.0,1.0,1.0,216.48004387069466,583.2395747413779,-0.05
-0.04,0.01,51.0,1.0,1.0,217.69120335437196,518.0566073180669,-0.04
-0.03,0.01,51.0,1.0,1.0,218.37367376746178,510.49273356203497,-0.03
-0.02,0.01,51.0,1.0,1.0,219.867726217347,570.6491130645124,-0.02
-0.01,0.01,51.0,1.0,1.0,221.60937409882095,548.2150295927476,-0.01
0.0,0.01,51.0,1.0,1.0,222.60807102607438,513.0752447124503,0.0
-1.0,0.02,51.0,1.0,1.0,194.6724010330816,545.2207050796659,-1.0
-0.99,0.02,51.0,1.0,1.0,194.56743357743346,558.2897453219949,-0.99
-0.98,0.02,51.0,1.0,1.0,194.74306726267213,565.5031807374058,-0.98
-0.97,0.02,51.0,1.0,1.0,195.08435754364675,564.7506050122147,-0.97
-0.96,0.02,51.0,1.0,1.0,195.28079099706756,567.9871746492997,-0.96
-0.95,0.02,51.0,1.0,1.0,195.24361998538785,571.4123540219172,-0.95
-0.94,0.02,51.0,1.0,1.0,195.16369172532694,573.8867081527557,-0.94
-0.93,0.02,51.0,1.0,1.0,195.12510327836478,572.5851610783568,-0.93
-0.92,0.02,51.0,1.0,1.0,195.09133944147635,571.2322449417137,-0.92
-0.91,0.02,51.0,1.0,1.0,195.06447900706726,569.8082683757945,-0.91
-0.9,0.02,51.0,1.0,1.0,195.04695764079705,568.2956815193684,-0.9
-0.89,0.02,51.0,1.0,1.0,195.13907125584817,566.6951065939413,-0.89
-0.88,0.02,51.0,1.0,1.0,195.28298101179732,565.059545799606,-0.88
-0.87,0.02,51.0,1.0,1.0,195.41696790693828,563.5432962613479,-0.87
-0.86,0.02,51.0,1.0,1.0,195.53135263516364,562.4413774965992,-0.86
-0.85,0.02,51.0,1.0,1.0,195.6114322429943,562.14141171311,-0.85
-0.84,0.02,51.0,1.0,1.0,195.6668357205975,562.9463226531566,-0.84
-0.83,0.02,51.0,1.0,1.0,195.7825278167396,559.5499228873508,-0.83
-0.82,0.02,51.0,1.0,1.0,195.98261713181435,553.7411845897112,-0.82
-0.81,0.02,51.0,1.0,1.0,196.18202366047737,547.7152426768255,-0.81
-0.8,0.02,51.0,1.0,1.0,196.38648455081767,541.2998165311614,-0.8
-0.79,0.02,51.0,1.0,1.0,196.3798820585586,535.0775056612458,-0.79
-0.78,0.02,51.0,1.0,1.0,196.34688243364045,528.5278154983005,-0.78
-0.77,0.02,51.0,1.0,1.0,196.31074132808155,520.2046801030933,-0.77
-0.76,0.02,51.0,1.0,1.0,196.25192792454067,514.1890772058716,-0.76
-0.75,0.02,51.0,1.0,1.0,196.27213388652493,518.7649669929475,-0.75
-0.74,0.02,51.0,1.0,1.0,196.51262895368393,525.865045719245,-0.74
-0.73,0.02,51.0,1.0,1.0,196.50230134045046,532.6390415195691,-0.73
-0.72,0.02,51.0,1.0,1.0,196.58407932891808,539.668735092163,-0.72
-0.71,0.02,51.0,1.0,1.0,196.5872378198029,547.6315505116545,-0.71
-0.7,0.02,51.0,1.0,1.0,196.73986374089782,562.9776224553776,-0.7
-0.69,0.02,51.0,1.0,1.0,196.8340484166363,575.6491391534505,-0.69
-0.68,0.02,51.0,1.0,1.0,196.98346877200456,584.339261466487,-0.68
-0.67,0.02,51.0,1.0,1.0,196.98842935698673,583.4309143297762,-0.67
-0.66,0.02,51.0,1.0,1.0,197.03442531862368,577.6156564732206,-0.66
-0.65,0.02,51.0,1.0,1.0,197.10549738818477,575.7428712011122,-0.65
-0.64,0.02,51.0,1.0,1.0,197.19324036851012,579.5790884744943,-0.64
-0.63,0.02,51.0,1.0,1.0,197.22953353435082,583.3950711377427,-0.63
-0.62,0.02,51.0,1.0,1.0,197.45184831299056,587.1854963526472,-0.62
-0.61,0.02,51.0,1.0,1.0,197.61210145356048,590.9413254839811,-0.61
-0.6,0.02,51.0,1.0,1.0,197.55059657638498,590.6784934146457,-0.6
-0.59,0.02,51.0,1.0,1.0,197.51488069465842,588.5384874843711,-0.59
-0.58,0.02,51.0,1.0,1.0,197.50600638267832,585.5065062900716,-0.58
-0.57,0.02,51.0,1.0,1.0,197.5199812711376,581.7831253291664,-0.57
-0.56,0.02,51.0,1.0,1.0,197.54342779101802,577.5868010317015,-0.56
-0.55,0.02,51.0,1.0,1.0,197.57418401036298,573.130583107309,-0.55
-0.54,0.02,51.0,1.0,1.0,197.62602501683,568.6048563347414,-0.54
-0.53,0.02,51.0,1.0,1.0,197.67159937359008,564.1688367393261,-0.53
-0.52,0.02,51.0,1.0,1.0,197.7174050529657,559.9492947507306,-0.52
-0.51,0.02,51.0,1.0,1.0,197.78007480656484,556.0434325852245,-0.51
-0.5,0.02,51.0,1.0,1.0,197.82710896088903,552.5229033209664,-0.5
-0.49,0.02,51.0,1.0,1.0,197.8719637949028,550.7351199828277,-0.49
-0.48,0.02,51.0,1.0,1.0,197.9163486902219,549.7226488310713,-0.48
-0.47,0.02,51.0,1.0,1.0,197.96320853397773,548.9218735775797,-0.47
-0.46,0.02,51.0,1.0,1.0,198.01118441469896,548.3291543532808,-0.46
-0.45,0.02,51.0,1.0,1.0,198.05439388276048,547.4981486786731,-0.45
-0.44,0.02,51.0,1.0,1.0,198.08498455425462,547.325973493198,-0.44
-0.43,0.02,51.0,1.0,1.0,198.11435713531068,548.3556687761339,-0.43
-0.42,0.02,51.0,1.0,1.0,198.13078326456613,549.3828944623191,-0.42
-0.41,0.02,51.0,1.0,1.0,198.1574795641271,550.4066326195214,-0.41
-0.4,0.02,51.0,1.0,1.0,198.18858073222106,551.4258669163502,-0.4
-0.39,0.02,51.0,1.0,1.0,198.21906942168806,552.4395727130682,-0.39
-0.38,0.02,51.0,1.0,1.0,198.24895026382814,553.4467076979377,-0.38
-0.37,0.02,51.0,1.0,1.0,198.2691816126206,554.8135482478366,-0.37
-0.36,0.02,51.0,1.0,1.0,198.29428628466806,556.8049465774513,-0.36
-0.35,0.02,51.0,1.0,1.0,198.32580540202665,558.7694416665591,-0.35
-0.34,0.02,51.0,1.0,1.0,198.35746350720336,560.7063331493746,-0.34
-0.33,0.02,51.0,1.0,1.0,198.39016382394556,562.6148321662661,-0.33
-0.32,0.02,51.0,1.0,1.0,198.41149681225335,564.4940022310791,-0.32
-0.31,0.02,51.0,1.0,1.0,198.43964166942223,566.3427287645619,-0.31
-0.3,0.02,51.0,1.0,1.0,198.47302194040793,568.1597086346394,-0.3
-0.29,0.02,51.0,1.0,1.0,198.50789022565897,569.9434534402351,-0.29
-0.28,0.02,51.0,1.0,1.0,198.54413450778196,571.6923020916449,-0.28
-0.27,0.02,51.0,1.0,1.0,198.57153820885412,573.4044395801419,-0.27
-0.26,0.02,51.0,1.0,1.0,198.60735629309596,575.0779197889256,-0.26
-0.25,0.02,51.0,1.0,1.0,198.64675996400615,576.7106908695503,-0.25
-0.24,0.02,51.0,1.0,1.0,198.68701204968758,578.3006221670703,-0.24
-0.23,0.02,51.0,1.0,1.0,198.72796404795744,579.8455319790561,-0.23
-0.22,0.02,51.0,1.0,1.0,198.76791677361257,581.3432156284638,-0.22
-0.21,0.02,51.0,1.0,1.0,198.81277581109788,582.7914734454686,-0.21
-0.2,0.02,51.0,1.0,1.0,198.86010114174718,584.1881383165586,-0.2
-0.19,0.02,51.0,1.0,1.0,198.90651426851147,585.5311024876349,-0.19
-0.18,0.02,51.0,1.0,1.0,198.95297804672288,586.818343312874,-0.18
-0.17,0.02,51.0,1.0,1.0,198.99963226348842,588.0479476301656,-0.17
-0.16,0.02,51.0,1.0,1.0,199.04568582997123,589.218134422124,-0.16
-0.15,0.02,51.0,1.0,1.0,200.86415315699094,588.3897381587052,-0.15
-0.14,0.02,51.0,1.0,1.0,203.37125924376744,515.8001317934459,-0.14
-0.13,0.02,51.0,1.0,1.0,204.9157902207334,518.0250765214467,-0.13
-0.12,0.02,51.0,1.0,1.0,205.89430090192377,531.3600804261628,-0.12
-0.11,0.02,51.0,1.0,1.0,207.1848237041431,551.0299919828766,-0.11
-0.1,0.02,51.0,1.0,1.0,209.23013620227954,518.8316749985702,-0.1
-0.09,0.02,51.0,1.0,1.0,210.55411953669068,528.1324130913239,-0.09
-0.08,0.02,51.0,1.0,1.0,211.399974169808,546.5706874810958,-0.08
-0.07,0.02,51.0,1.0,1.0,212.60817336702488,563.4910994912877,-0.07
-0.06,0.02,51.0,1.0,1.0,214.2736261933418,519.9845606689744,-0.06
-0.05,0.02,51.0,1.0,1.0,216.50765823232157,583.2409050892492,-0.05
-0.04,0.02,51.0,1.0,1.0,217.69292317038466,518.2846631457564,-0.04
-0.03,0.02,51.0,1.0,1.0,218.37346735251268,510.6573708965142,-0.03
-0.02,0.02,51.0,1.0,1.0,219.8741853275682,570.7144314579929,-0.02
-0.01,0.02,51.0,1.0,1.0,221.61379930388816,548.3241439368029,-0.01
0.0,0.02,51.0,1.0,1.0,222.60796107630486,513.1218837719467,0.0
-1.0,0.03,51.0,1.0,1.0,194.6724010330816,545.4108247558145,-1.0
-0.99,0.03,51.0,1.0,1.0,194.56743357743346,558.4751468884008,-0.99
-0.98,0.03,51.0,1.0,1.0,194.744842013192,565.6047010566807,-0.98
-0.97,0.03,51.0,1.0,1.0,195.088335134746,564.7960972886757,-0.97
-0.96,0.03,51.0,1.0,1.0,195.28387134160636,568.0162485983271,-0.96
-0.95,0.03,51.0,1.0,1.0,195.2439264055348,571.4453986028296,-0.95
-0.94,0.03,51.0,1.0,1.0,195.16408631117844,573.8869863335665,-0.94
-0.93,0.03,51.0,1.0,1.0,195.12591139223974,572.5830014997947,-0.93
-0.92,0.03,51.0,1.0,1.0,195.0926833964271,571.226724005555,-0.92
-0.91,0.03,51.0,1.0,1.0,195.06654741454085,569.7984631717391,-0.91
-0.9,0.03,51.0,1.0,1.0,195.04996324651577,568.2812055947123,-0.9
-0.89,0.03,51.0,1.0,1.0,195.1435014947256,566.6775841441755,-0.89
-0.88,0.03,51.0,1.0,1.0,195.2870842466642,565.0440557150733,-0.88
-0.87,0.03,51.0,1.0,1.0,195.42072974525996,563.5410110944288,-0.87
-0.86,0.03,51.0,1.0,1.0,195.53426119806647,562.4690499058719,-0.86
-0.85,0.03,51.0,1.0,1.0,195.61295250382625,562.2150858744152,-0.85
-0.84,0.03,51.0,1.0,1.0,195.6658085884889,563.0712613590626,-0.84
-0.83,0.03,51.0,1.0,1.0,195.78368981701024,559.6201784513333,-0.83
-0.82,0.03,51.0,1.0,1.0,195.98369143885733,553.8119773724121,-0.82
-0.81,0.03,51.0,1.0,1.0,196.183082694689,547.7866072889414,-0.81
-0.8,0.03,51.0,1.0,1.0,196.38756971580315,541.3755268470597,-0.8
-0.79,0.03,51.0,1.0,1.0,196.37911315066592,535.1642335227086,-0.79
-0.78,0.03,51.0,1.0,1.0,196.34619540210232,528.5948346333463,-0.78
-0.77,0.03,51.0,1.0,1.0,196.30997048515118,520.2472210375157,-0.77
-0.76,0.03,51.0,1.0,1.0,196.2506862025,514.3989840693155,-0.76
-0.75,0.03,51.0,1.0,1.0,196.2730698362174,519.1571457589746,-0.75
