MagCAPShock,IF_sens_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.82,4.710805822269944,51.0,1.0,1.0,196.77434324940734,526.8370003380072,-0.82
-0.81,4.710805822269944,51.0,1.0,1.0,196.8231614931037,527.7687664377877,-0.81
-0.8,4.710805822269944,51.0,1.0,1.0,196.94406832125685,528.5689357978783,-0.8
-0.79,4.710805822269944,51.0,1.0,1.0,197.03078919182542,529.3699790469535,-0.79
-0.78,4.710805822269944,51.0,1.0,1.0,197.08678253372014,529.7212382977393,-0.78
-0.77,4.710805822269944,51.0,1.0,1.0,197.17123493420866,529.5612017255586,-0.77
-0.76,4.710805822269944,51.0,1.0,1.0,197.28600908504978,529.4095877091395,-0.76
-0.75,4.710805822269944,51.0,1.0,1.0,197.4006401599147,529.2662177111766,-0.75
-0.74,4.710805822269944,51.0,1.0,1.0,197.51350003847247,528.883796073848,-0.74
-0.73,4.710805822269944,51.0,1.0,1.0,197.62404984638871,528.4137823756247,-0.73
-0.72,4.710805822269944,51.0,1.0,1.0,197.73137328025638,527.9135319490449,-0.72
-0.71,4.710805822269944,51.0,1.0,1.0,197.83320741940685,527.3828035224218,-0.71
-0.7,4.710805822269944,51.0,1.0,1.0,197.944431019043,527.2700850047263,-0.7
-0.69,4.710805822269944,51.0,1.0,1.0,198.05400665656572,527.2639717874763,-0.69
-0.68,4.710805822269944,51.0,1.0,1.0,198.16450446330518,527.3212538274944,-0.68
-0.67,4.710805822269944,51.0,1.0,1.0,198.27132035342157,527.4281838440662,-0.67
-0.66,4.710805822269944,51.0,1.0,1.0,198.31942576382932,527.570004823001,-0.66
-0.65,4.710805822269944,51.0,1.0,1.0,198.36746053971774,527.7328204743171,-0.65
-0.64,4.710805822269944,51.0,1.0,1.0,198.41555651791936,527.9046292993198,-0.64
-0.63,4.710805822269944,51.0,1.0,1.0,198.46220756041956,528.0755464640599,-0.63
-0.62,4.710805822269944,51.0,1.0,1.0,198.50917051421663,528.1191884382987,-0.62
-0.61,4.710805822269944,51.0,1.0,1.0,198.5571042785647,527.7194748152297,-0.61
-0.6,4.710805822269944,51.0,1.0,1.0,198.60600019488808,527.2773887321343,-0.6
-0.59,4.710805822269944,51.0,1.0,1.0,198.65589103829808,526.8142594058548,-0.59
-0.58,4.710805822269944,51.0,1.0,1.0,198.7068282729217,526.3306078086728,-0.58
-0.57,4.710805822269944,51.0,1.0,1.0,198.75888505495948,525.8270498520271,-0.57
-0.56,4.710805822269944,51.0,1.0,1.0,198.81168275063757,525.3042664286237,-0.56
-0.55,4.710805822269944,51.0,1.0,1.0,198.86576747899596,524.7629767195687,-0.55
-0.54,4.710805822269944,51.0,1.0,1.0,198.92142483210614,524.2039152350286,-0.54
-0.53,4.710805822269944,51.0,1.0,1.0,198.97317123255175,524.011735400393,-0.53
-0.52,4.710805822269944,51.0,1.0,1.0,199.02419262666433,524.0448065024283,-0.52
