MagCAPShock,Goal_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.69,1.01,50.97168498158845,0.9994448035605579,0.9879837128956415,197.7201889451633,528.7223607977514,-0.69
-0.68,1.01,50.97222422766869,0.9994553770131116,0.9881599485780382,197.76658888381965,528.7730290260122,-0.68
-0.67,1.01,50.97276347899512,0.9994659505685317,0.9883361855175838,197.79836546126683,528.8171522141525,-0.67
-0.66,1.01,50.97330273561673,0.999476524227779,0.9885124237356755,197.83156203912696,528.855001377972,-0.66
-0.65,1.01,50.9738419975821,0.9994870979918059,0.9886886632533378,197.86592981374267,528.8867976194929,-0.65
-0.64,1.01,50.974381264939396,0.9994976718615568,0.9888649040912292,197.90126905542348,528.9127145163552,-0.64
-0.63,1.01,50.97492053773642,0.999508245837969,0.989041146269645,197.93759634518506,528.9328811645768,-0.63
-0.62,1.01,50.97545981602053,0.9995188199219712,0.989217389808528,197.97340418125256,528.9473859256212,-0.62
-0.61,1.01,50.97599909983869,0.999529394114484,0.989393634727473,198.00923029885067,528.9562808672093,-0.61
-0.6,1.01,50.97653838923746,0.9995399684164208,0.9895698810457385,198.04559659467233,528.9595868156151,-0.6
-0.59,1.01,50.977077684263,0.9995505428286863,0.9897461287822519,198.0826037128358,528.9572988686533,-0.59
-0.58,1.01,50.97761698496109,0.9995611173521782,0.9899223779556227,198.12058444434277,528.949392161131,-0.58
-0.57,1.01,50.978156291377076,0.9995716919877858,0.9900986285841487,198.15536370498563,528.9358276378077,-0.57
-0.56,1.01,50.97869560355593,0.9995822667363907,0.9902748806858304,198.18901902738565,528.916557577749,-0.56
-0.55,1.01,50.979234921542236,0.9995928415988674,0.9904511342783766,198.2188001473625,528.8915306302088,-0.55
-0.54,1.01,50.979774245380185,0.9996034165760821,0.9906273893792166,198.2472516702293,528.8606961629232,-0.54
-0.53,1.01,50.98031357511358,0.9996139916688936,0.9908036460055094,198.276467256063,528.8240077845846,-0.53
-0.52,1.01,50.98085291078584,0.9996245668781537,0.9909799041741515,198.30636133620257,528.7814259747252,-0.52
-0.51,1.01,50.98139225244002,0.9996351422047062,0.9911561639017854,198.33687613044293,528.732919829852,-0.51
-0.5,1.01,50.98193160011876,0.9996457176493875,0.9913324252048061,198.36796384301147,528.678468003267,-0.5
-0.49,1.01,50.98247095386435,0.9996562932130265,0.9915086880993682,198.3995827066512,528.6180589737337,-0.49
-0.48,1.01,50.98301031371868,0.9996668688964447,0.991684952601387,198.43169595115606,528.5516908168643,-0.48
-0.47,1.01,50.983549679723254,0.9996774447004559,0.9918612187265461,198.46427209001357,528.4793706736741,-0.47
-0.46,1.01,50.984089051919184,0.9996880206258664,0.9920374864902911,198.49728818324257,528.4011141093471,-0.46
-0.45,1.01,50.9846284303472,0.9996985966734745,0.992213755907836,198.53048542735053,528.3169445366419,-0.45
