MagCAPShock,IntRate,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.36,0.01,51.0,1.0,1.0,198.94838801287113,543.7046011287022,-0.36
-0.35,0.01,51.0,1.0,1.0,199.05390262265414,542.2664382644392,-0.35
-0.34,0.01,51.0,1.0,1.0,199.1442200072059,540.7504545081007,-0.34
-0.33,0.01,51.0,1.0,1.0,199.24689687907104,539.170579484031,-0.33
-0.32,0.01,51.0,1.0,1.0,199.34609931903321,537.5390716303162,-0.32
-0.31,0.01,51.0,1.0,1.0,199.4372882245424,535.863063358528,-0.31
-0.3,0.01,51.0,1.0,1.0,199.54773357518013,534.1562047584936,-0.3
-0.29,0.01,51.0,1.0,1.0,199.63836191051448,532.4264050412654,-0.29
-0.28,0.01,51.0,1.0,1.0,199.72685156372773,530.6795531086251,-0.28
-0.27,0.01,51.0,1.0,1.0,199.83150773814168,528.9192472127972,-0.27
-0.26,0.01,51.0,1.0,1.0,199.91488557960574,527.1464250628746,-0.26
-0.25,0.01,51.0,1.0,1.0,199.9961520342578,525.3590299301835,-0.25
-0.24,0.01,51.0,1.0,1.0,200.0820333256749,523.5517704461078,-0.24
-0.23,0.01,51.0,1.0,1.0,200.1668566241143,521.7161622310915,-0.23
-0.22,0.01,51.0,1.0,1.0,200.24010440221144,519.8408843163462,-0.22
-0.21,0.01,51.0,1.0,1.0,200.31131452850912,517.9123236432106,-0.21
-0.2,0.01,51.0,1.0,1.0,200.3856068832818,515.9141871527137,-0.2
-0.19,0.01,51.0,1.0,1.0,200.45321573725235,513.8267652962044,-0.19
-0.18,0.01,51.0,1.0,1.0,200.5119902266684,511.6352520256664,-0.18
-0.17,0.01,51.0,1.0,1.0,200.57116000692,509.31601779847415,-0.17
-0.16,0.01,51.0,1.0,1.0,200.62560474359194,506.819433795747,-0.16
-0.15,0.01,51.0,1.0,1.0,201.89641253049015,522.4774834300104,-0.15
-0.14,0.01,51.0,1.0,1.0,202.81878503702043,517.609065029802,-0.14
-0.13,0.01,51.0,1.0,1.0,204.84070336490257,505.74357717491955,-0.13
-0.12,0.01,51.0,1.0,1.0,206.49738820076402,527.3365321372072,-0.12
-0.11,0.01,51.0,1.0,1.0,207.7099241183066,484.09675503761673,-0.11
-0.1,0.01,51.0,1.0,1.0,208.93514361853556,520.1021167204625,-0.1
-0.09,0.01,51.0,1.0,1.0,210.71665177166457,508.3181565997427,-0.09
-0.08,0.01,51.0,1.0,1.0,211.78976834108025,540.5793654058295,-0.08
-0.07,0.01,51.0,1.0,1.0,214.19351228043035,508.02547705471244,-0.07
-0.06,0.01,51.0,1.0,1.0,215.2564800246178,507.5583727961853,-0.06
-0.05,0.01,51.0,1.0,1.0,217.00410260941683,548.1728296315421,-0.05
-0.04,0.01,51.0,1.0,1.0,217.6968591733784,525.1535195542976,-0.04
-0.03,0.01,51.0,1.0,1.0,218.8927270056711,501.8320716155298,-0.03
-0.02,0.01,51.0,1.0,1.0,220.50881461128506,551.1361071119574,-0.02
-0.01,0.01,51.0,1.0,1.0,220.89014893634464,537.037625498894,-0.01
0.0,0.01,51.0,1.0,1.0,221.70648141937912,521.0897289219032,0.0
-1.0,0.02,51.0,1.0,1.0,194.91693447498517,532.7388175792856,-1.0
-0.99,0.02,51.0,1.0,1.0,194.778491946945,517.8179515416424,-0.99
-0.98,0.02,51.0,1.0,1.0,194.86660936569834,513.8260433657207,-0.98
-0.97,0.02,51.0,1.0,1.0,194.9685199287519,530.3006769409951,-0.97
-0.96,0.02,51.0,1.0,1.0,194.9959811680995,542.1449811494178,-0.96
-0.95,0.02,51.0,1.0,1.0,195.09526760317016,552.8382886649102,-0.95
-0.94,0.02,51.0,1.0,1.0,195.43624732616752,551.3423774643852,-0.94
-0.93,0.02,51.0,1.0,1.0,195.39465977693135,551.4347260385858,-0.93
-0.92,0.02,51.0,1.0,1.0,195.2688858992352,554.2416069516433,-0.92
-0.91,0.02,51.0,1.0,1.0,195.1596568761414,557.1605188656764,-0.91
-0.9,0.02,51.0,1.0,1.0,195.0823065086904,559.6776452252024,-0.9
-0.89,0.02,51.0,1.0,1.0,195.1375117862977,561.9579678098328,-0.89
-0.88,0.02,51.0,1.0,1.0,195.23722105701827,562.5682823510894,-0.88
-0.87,0.02,51.0,1.0,1.0,195.43596566260524,561.5281010792335,-0.87
-0.86,0.02,51.0,1.0,1.0,195.62225193699857,560.4585915064167,-0.86
-0.85,0.02,51.0,1.0,1.0,195.80433882543673,559.3696874161202,-0.85
-0.84,0.02,51.0,1.0,1.0,195.9572327268522,558.2593996967282,-0.84
-0.83,0.02,51.0,1.0,1.0,195.9651819737249,557.1179510159354,-0.83
-0.82,0.02,51.0,1.0,1.0,195.97657470313197,555.933561941823,-0.82
-0.81,0.02,51.0,1.0,1.0,195.99335783417447,554.6922930059574,-0.81
-0.8,0.02,51.0,1.0,1.0,196.0175873582369,553.3826285524669,-0.8
-0.79,0.02,51.0,1.0,1.0,196.05102434266848,552.0056169343675,-0.79
-0.78,0.02,51.0,1.0,1.0,196.08567017568544,550.5946846272436,-0.78
-0.77,0.02,51.0,1.0,1.0,196.11363491398353,549.2442145992411,-0.77
-0.76,0.02,51.0,1.0,1.0,196.15276258523835,548.1325091888112,-0.76
-0.75,0.02,51.0,1.0,1.0,196.24703227157713,547.5128438214085,-0.75
-0.74,0.02,51.0,1.0,1.0,196.31805423515326,547.6364238558801,-0.74
